name,latitude_deg,longitude_deg,iata_code
Ocean Reef Club Airport,25.3253994,-80.27480316,OCA
Pilot Station Airport,61.934601,-162.899994,PQS
Buckhorn Ranch Airport,38.85189819,-106.93282,CSE
LBJ Ranch Airport,30.25180054,-98.62249756,JCY
Metropolitan Airport,42.22330093,-72.31140137,PMX
Loring Seaplane Base,55.60129929,-131.6369934,WLR
Nunapitchuk Airport,60.905591,-162.440454,NUP
Port Alice Seaplane Base,55.803,-133.597,PTC
Icy Bay Airport,59.96900177,-141.6620026,ICY
Port Protection Seaplane Base,56.3288002,-133.6100006,PPV
Kalakaket Creek AS Airport,64.4166257,-156.8203926,KKK
Dunsmuir Muni-Mott Airport,41.263199,-122.272003,MHS
Ellamar Seaplane Base,60.893818,-146.704038,ELW
Lime Village Airport,61.35910034,-155.4400024,LVD
Five Finger CG Heliport,57.26990128,-133.6309967,FIV
Hog River Airport,66.2161026,-155.6690063,HGZ
Ed-Air Airport,38.85139847,-87.49970245,OTN
Telida Airport,63.39390182,-153.2689972,TLF
Eagle Air Park,28.98220062,-95.57969666,BZT
Entrance Island Seaplane Base,57.412201,-133.43848,HBH
False Island Seaplane Base,57.53219986,-135.2129974,FAK
Blakely Island Airport,48.57899857,-122.8259964,BYW
Drift River Airport,60.58890152,-152.1620026,DRF
Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,BDF
Roy Otten Memorial Airfield,38.42779922,-92.87519836,VRS
Golden Horn Lodge Seaplane Base,59.74700165,-158.875,GDH
Atmautluak Airport,60.866699,-162.272995,ATT
Livengood Camp Airport,65.467,-148.6534,LIV
Pedro Bay Airport,59.78960037,-154.1239929,PDB
Ouzinkie Airport,57.925362,-152.496715,KOZ
Tununak Airport,60.57550049,-165.2720032,TNK
Ben Bruce Memorial Airpark,30.32099915,-94.07350159,EVA
Hyder Seaplane Base,55.903324,-130.009975,WHD
Tokeen Seaplane Base,55.93709946,-133.3269959,TKI
Aleknagik / New Airport,59.2826004,-158.6179962,WKK
Ketchikan Harbor Seaplane Base,55.349899,-131.677002,WFB
Naknek Airport,58.73289871,-157.0200043,NNK
Lake Brooks Seaplane Base,58.55479813,-155.7769928,BKF
Fort Gillem Heliport,33.61500168,-84.3463974,FOP
Southern Seaplane Airport,29.86610031,-90.02220154,BCS
Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,SPQ
East 34th Street Heliport,40.74259949,-73.9720993,TSS
New York Skyports Inc Seaplane Base,40.734001,-73.9729,QNY
Earl Henry Airport,36.79589844,-97.31700134,BWL
Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,WYB
Center Island Airport,48.49010086,-122.8320007,CWS
Tatitlek Airport,60.871449,-146.690297,TEK
Pine Island Airport,36.25350189,-75.78849792,DUF
Stuart Island Airpark,48.67290115,-123.1760025,SSW
Fort Bragg Airport,39.47430038,-123.7959976,FOB
Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,PUL
Century City Heliport,34.06079865,-118.4179993,CCD
Meyers Chuck Seaplane Base,55.73960114,-132.2550049,WMK
Maxson Airfield,44.312002,-75.90034,AXB
Reese Airpark,33.59030151,-102.0370026,REE
Waldronaire Airport,48.71179962,-123.0179977,WDN
North Whale Seaplane Base,56.11629868,-133.121994,WWP
Chuathbaluk Airport,61.579102,-159.216003,CHU
Ugashik Airport,57.5279007,-157.3990021,UGS
Philadelphia Seaplane Base,39.85900116,-75.29959869,PSQ
Levelock Airport,59.12810135,-156.8589935,KLL
Saginaw Seaplane Base,56.88629913,-134.1580048,SGW
Tuntutuliak Airport,60.33530045,-162.6670074,WTL
Twin Hills Airport,59.07559967,-160.272995,TWA
Chignik Lake Airport,56.25500107,-158.7749939,KCQ
Amchitka Army Airfield,51.37777778,179.2591667,AHT
Chena Hot Springs Airport,65.05180359,-146.0469971,CEX
Solomon State Field,64.5605,-164.4457,SOL
Herendeen Bay Airport,55.80139923,-160.8990021,HED
Taylor Airport,65.6792984,-164.798996,TWE
Tikchik Lodge Seaplane Base,59.96319962,-158.477005,KTH
Naukati Bay Seaplane Base,55.849602,-133.227994,NKI
Lonely Air Station,70.91069794,-153.2420044,LNI
Candle 2 Airport,65.90769959,-161.9259949,CDL
Amook Bay Seaplane Base,57.4715004,-153.8150024,AOS
Bartletts Airport,58.21620178,-157.352005,BSZ
Boswell Bay Airport,60.42309952,-146.1459961,BSW
Sharpe Field,32.4919014,-85.77559662,TGE
Alitak Seaplane Base,56.8995018,-154.2480011,ALZ
Girdwood Airport,60.966099,-149.126007,AQY
Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,ARX
Austin Robert Mueller Municipal,30.29872235,-97.69978523,AUS
Zahn's Airport,40.71,-73.4,AYZ
Lava Falls Heliport,36.1916008,-113.0920029,HAE
